밀원수종명,주소,경도,위도,화밀량
아까시나무,충청북도 충주시 장터2길 20,127.9909595,36.84602436,433.124
아까시나무,충청북도 충주시 발티길 126,127.9642897,36.939265,194.539
아까시나무,경상북도 칠곡군 연호2길 64,128.5040681,35.93082926,134.141
아까시나무,경상북도 칠곡군 상지1길 14,128.4935668,35.95908102,188.646
아까시나무,충청남도 공주시 산성시장2길 90-3,127.1235891,36.45825109,70.563
아까시나무,충청북도 충주시 황토골2길 3,127.8452082,36.96466238,37.018
아까시나무,충청북도 충주시 능골2길 8,127.8280553,36.96510159,12.762
아까시나무,경상북도 칠곡군 가산산성길 1,128.5947294,36.01352861,61.361
아까시나무,경상북도 칠곡군 도개1길 19,128.4557347,36.04704121,219.504
아까시나무,충청북도 충주시 산정안길 22,127.8732394,36.94635725,134.577
아까시나무,경상북도 칠곡군 남율로16길 40,128.4082917,36.06667084,168.176
아까시나무,충청북도 충주시 방아길 70-25,127.9424175,36.95015953,62.6
아까시나무,충청북도 충주시 대소원2길 2,127.8192746,36.97618386,19.119
아까시나무,충청북도 충주시 신양로 71,127.7951022,36.972338,27.223
아까시나무,충청남도 공주시 석남외마루길 26-5,126.9493071,36.55166001,63.87
아까시나무,경상북도 칠곡군 시장2길 3-3,128.3982922,35.99577466,561.482
아까시나무,경상북도 칠곡군 영오먹골길 45,128.4853945,35.92964708,162.663
아까시나무,경상북도 칠곡군 영오먹골길 47-2,128.485449,35.93002861,141.012
아까시나무,경상북도 칠곡군 백송로 745-14,128.5473134,35.9878748,96.315
아까시나무,경상북도 칠곡군 각산찰전길 42-90,128.3244723,35.99006184,290.751
아까시나무,경상북도 칠곡군 관호8길 25-23,128.39022,36.00051495,167.17
아까시나무,충청북도 충주시 관암2길 14,127.9697323,37.02850752,607.256
아까시나무,경상북도 칠곡군 인평들길 66,128.3368548,36.05954407,106.069
아까시나무,충청북도 충주시 큰골길 27,127.7568219,36.9666462,300.711
아까시나무,충청북도 충주시 동막골길 31,127.9995281,36.94576435,36.412
아까시나무,충청북도 충주시 중산길 251,128.0156289,36.87204267,4.877
아까시나무,충청북도 충주시 진물길 6-6,127.81429,36.97648809,31.892
아까시나무,경상북도 칠곡군 석전로 88-2,128.4071096,35.99962097,87.392
아까시나무,경상북도 칠곡군 대실1길 15-6,128.3448271,36.071739,0.011
아까시나무,경상북도 칠곡군 신동로7길 8,128.4895053,35.9560024,310.202
아까시나무,경상북도 칠곡군 강변대로 732,128.402387,35.94410225,16.046
아까시나무,충청북도 충주시 중원대로 2564-22,127.9517123,36.91116789,155.129
아까시나무,충청북도 충주시 대안보3길 20,128.0030615,36.83753986,47.186
아까시나무,경상북도 칠곡군 공단로5길 59-19,128.4201703,35.9634472,244.645
아까시나무,충청북도 충주시 대전조돈길 212,127.9512279,37.03528394,13.543
아까시나무,경상북도 칠곡군 동중리9길 35,128.418581,36.07662267,365.905
아까시나무,충청북도 충주시 세고개로 79,127.9389171,37.0929709,56.593
아까시나무,충청북도 충주시 당들2길 14,127.7322734,37.11005522,233.415
아까시나무,경상북도 칠곡군 용산로 85-3,128.4996421,35.90449569,159.689
아까시나무,충청남도 공주시 옥룡2길 19-4,127.131224,36.45425751,48.964
아까시나무,경상북도 칠곡군 연호2길 13,128.5065819,35.93322463,773.873
아까시나무,충청북도 충주시 만리산로 41-5,127.9448106,36.97479851,60.204
아까시나무,충청북도 충주시 거룡2길 74-1,127.9370783,36.96439107,37.903
아까시나무,경상북도 칠곡군 송산2길 25-11,128.5111661,36.00826025,284.046
아까시나무,충청북도 충주시 신의안길 3-8,127.735089,37.01098548,32.912
아까시나무,경상북도 칠곡군 신동로 149,128.4887887,35.95647408,177.167
아까시나무,충청북도 충주시 대덕길 247,127.7058035,37.06765614,24.593
아까시나무,충청북도 충주시 연수로2길 16,127.9384865,36.99277635,130.233
아까시나무,경상북도 칠곡군 송산7길 14-2,128.5496719,35.98619813,604.925
아까시나무,경상북도 칠곡군 노석2길 33-11,128.3806927,35.95430008,237.224
아까시나무,전라남도 장흥군 신촌2길 12-1,127.0216458,34.64146327,24.358
아까시나무,충청북도 충주시 연하하남길 50,127.7601789,37.0637433,29.469
아까시나무,경상북도 칠곡군 금암중앙길 9-8,128.5537726,35.98043537,604.925
아까시나무,경상북도 칠곡군 연호1길 17,128.5053484,35.93369205,70.391
아까시나무,충청북도 충주시 연원1길 23,127.9308681,36.98284665,55.802
아까시나무,충청북도 충주시 샘골길 54-1,127.9530696,36.9657808,631.32
아까시나무,충청북도 충주시 두정두담길 185,127.8465874,36.9374127,129.174
아까시나무,충청북도 충주시 청양새터길 91-8,127.792401,36.96713828,42.212
아까시나무,경상북도 칠곡군 한티로 538,128.5939775,36.0041134,58.566
아까시나무,충청북도 충주시 금가북길 182,127.9119071,37.05515221,19.268
아까시나무,충청북도 충주시 부연길 62-8,127.8370576,36.95383527,20.171
아까시나무,충청북도 충주시 대덕길 246-8,127.706658,37.06786802,129.831
아까시나무,경상북도 칠곡군 신동재로 30,128.5186088,35.92886746,142.173
아까시나무,충청북도 충주시 신덕로 703,127.7287989,36.99890786,37.413
아까시나무,충청북도 충주시 산정관산길 14-3,127.8773187,36.94307584,47.425
아까시나무,충청북도 충주시 월악로 196-59,128.0017561,36.891684,57.938
아까시나무,경상북도 칠곡군 북중리12길 6,128.4138109,36.07743261,196.076
아까시나무,충청북도 충주시 팽고리산길 84-1,127.9233078,36.99344734,130.233
아까시나무,충청북도 충주시 두담4길 3,127.8853378,36.9519926,218.768
아까시나무,경상북도 칠곡군 관문로 114-10,128.4072718,35.9880641,87.392
아까시나무,경상북도 칠곡군 낙산로1길 59,128.5321435,35.937892,237.565
아까시나무,충청북도 충주시 형설로 15,127.9405612,36.95534694,28.82
아까시나무,경상북도 칠곡군 지천로 492-4,128.484463,35.97443026,204.192
아까시나무,경상북도 칠곡군 대밭골1길 20,128.3738997,35.9874833,150.712
아까시나무,경상북도 칠곡군 상지3길 5-16,128.4948425,35.95932242,189.476
아까시나무,충청남도 공주시 옥룡1길 12-8,127.130594,36.45526952,48.964
아까시나무,전라남도 장흥군 흥성로 104-12,126.9130663,34.67888724,158.528
아까시나무,경상북도 칠곡군 남계7길 34-10,128.3651012,36.02829014,40.639
아까시나무,충청북도 충주시 청양새터길 22-11,127.7934854,36.96120652,10.278
아까시나무,경상북도 칠곡군 평장4길 28-13,128.4075405,35.98615603,119.304
아까시나무,충청북도 충주시 번던1길 55-3,127.9651891,36.97042854,51.118
아까시나무,충청북도 충주시 상설운3길 52,127.9844433,36.92504978,32.181
아까시나무,경상북도 칠곡군 남원로5길 47-1,128.588096,36.01774305,23.518
아까시나무,충청북도 충주시 막은대미재길 21,127.9411209,36.99321075,75.024
아까시나무,충청북도 충주시 송강길 63-2,127.9566887,37.08653088,127.486
아까시나무,경상북도 칠곡군 금암6길 28,128.551574,35.98366514,604.925
아까시나무,경상북도 칠곡군 관호6길 25,128.3857649,36.00793336,167.17
